Symbol,sys_name,SGD,WT_SSL,WT_HL,CBC_SSL,CBC1_HL,RRP6_SSL,RRP6-HL
NA,YGL193C ,YGL193C ,434.4,203.07,366.4,22.21,826,31.15
HOS2,YGL194C ,YGL194C ,97.9,16.04,64.5,10.84,164.7,80
GCN1,YGL195W ,YGL195W ,1072.7,16.48,1150.5,34.93,1631,24.28
NA,YGL196W ,YGL196W ,1378.7,69.77,1203.1,50.92,1254.5,38.26
MDS3,YGL197W ,YGL197W ,583.4,16.54,421.2,18.61,1012,32.17
NA,YGL198W ,YGL198W ,3277,27.14,3012.5,53.69,2402.2,114.03
NA,YGL199C ,YGL199C ,109.2,92.69,121.5,53.27,157,32.16
EMP24,YGL200C ,YGL200C ,10429.6,21.45,9415.2,53.58,7833,36.17
MCM6,YGL201C ,YGL201C ,119.2,10.61,111.8,16.14,234.7,17.94
ARO8,YGL202W ,YGL202W ,8073,31.43,4690.8,42.69,4498.7,46.98
KEX1,YGL203C ,YGL203C ,189.7,13.72,180.4,26.68,218.9,24.19
NA,YGL204C ,YGL204C ,280.4,46.64,361.9,38.01,366.1,18.76
POX1,YGL205W ,YGL205W ,15.5,5.82,7.3,32.25,3.6,N.A.
CHC1,YGL206C ,YGL206C ,1393.8,56.22,1674.8,100.83,1578.3,50.03
SPT16,YGL207W ,YGL207W ,928.7,11.96,963.3,24.41,1043.3,21.77
SIP2,YGL208W ,YGL208W ,188.2,28.06,188.4,154.64,90.7,N.A.
MIG2,YGL209W ,YGL209W ,738.8,4.98,607,10.73,368.8,27.21
YPT32,YGL210W ,YGL210W ,247.3,73.41,283.4,91.11,253.3,N.A.
NA,YGL211W ,YGL211W ,380.3,21.64,473.9,18.84,582.4,22.36
VAM7,YGL212W ,YGL212W ,144.6,73.15,125.1,30.33,152.2,51.01
SKI8,YGL213C ,YGL213C ,585.1,24.88,745.4,25.46,671.2,127.45
NA,YGL214W ,YGL214W ,93.8,18.34,82.1,33.11,66.5,46.75
CLG1,YGL215W ,YGL215W ,408.6,26.14,714.7,18.47,928.8,19.8
KIP3,YGL216W ,YGL216W ,232.4,12.04,211.3,19.34,274.6,28.12
NA,YGL217C ,YGL217C ,41.1,6,53.9,15.94,68.2,5.13
NA,YGL218W ,YGL218W ,137.9,19.19,9.2,N.A.,60.4,15.29
MMM2,YGL219C ,YGL219C ,207.6,N.A.,275.3,N.A.,248.2,N.A.
NA,YGL220W ,YGL220W ,2389.9,10.41,3482.7,13.64,2444.8,12.84
NIF3,YGL221C ,YGL221C ,1531.4,21.02,1860.1,29.51,1502.6,33.76
EDC1,YGL222C ,YGL222C ,4.3,45.34,5.9,38.19,3.8,71.58
COG1,YGL223C ,YGL223C ,236.3,11.45,244,15.24,188.8,36.19
SDT1,YGL224C ,YGL224C ,1068.5,16.46,1232.4,16.54,807.1,22.19
VRG4,YGL225W ,YGL225W ,4241.8,12.73,4076.7,26.19,3070,14.82
OST5,YGL226C-A ,YGL226C-A ,1302.7,10.62,896.2,145.46,1231.4,17.06
NA,YGL226W ,YGL226W ,261.6,56.18,583.2,23.72,553.6,26.38
VID30,YGL227W ,YGL227W ,152.7,N.A.,180.8,N.A.,170.6,233.55
SHE10,YGL228W ,YGL228W ,1254.3,24.55,1651,35.51,1174.7,70.7
SAP4,YGL229C ,YGL229C ,197.3,225.36,188,55.26,179.5,420.12
NA,YGL230C ,YGL230C ,15.9,7.77,14.4,31.21,33.6,7.84
NA,YGL231C ,YGL231C ,1320.2,18.94,1838,59.06,1354.9,25.53
NA,YGL232W ,YGL232W ,32,129.19,58.3,110.87,85.2,30.83
NA,YGL232W ,YGL232W ,271.3,23.99,198.6,N.A.,225.1,17.62
SEC15,YGL233W ,YGL233W ,168.9,26.98,336.2,22.82,290.4,65.58
ADE5,YGL234W ,YGL234W ,10731.2,25.88,8064.6,69.33,5282.1,39.84
NA,YGL235W ,YGL235W ,20.4,N.A.,30.2,21.28,10,15.18
MTO1,YGL236C ,YGL236C ,689.2,19.96,698.3,17.55,451.8,19.03
HAP2,YGL237C ,YGL237C ,199.5,23.04,201.4,29.02,100.9,136.43
CSE1,YGL238W ,YGL238W ,979.9,12.77,1241.9,19.67,1094.7,25.89
NA,YGL239C ,YGL239C ,50,24.3,27.7,54.28,45.6,76.24
DOC1,YGL240W ,YGL240W ,42.2,24.47,90.4,7.01,88.8,N.A.
KAP114,YGL241W ,YGL241W ,267.7,21.69,281.4,24,322.8,44.79
NA,YGL242C ,YGL242C ,709.9,12.83,945.1,26.19,743.7,26.62
TAD1,YGL243W ,YGL243W ,273.6,12.23,318.1,22.61,337.6,14.26
RTF1,YGL244W ,YGL244W ,128.1,25.11,183.4,56.02,140.1,31.58
NA,YGL245W ,YGL245W ,6364.4,44.54,4904.2,86.38,4981.4,59.88
RAI1,YGL246C ,YGL246C ,169.7,15.2,178.1,29.16,212.6,15.44
BRR6,YGL247W ,YGL247W ,807.4,12.43,889.7,14.46,754.3,28.08
PDE1,YGL248W ,YGL248W ,265.5,N.A.,375.7,1232.09,281.6,N.A.
ZIP2,YGL249W ,YGL249W ,20.8,22.82,17.5,14.67,30.4,N.A.
NA,YGL250W ,YGL250W ,81.6,N.A.,143.4,74.84,34.6,N.A.
HFM1,YGL251C ,YGL251C ,59.3,13.51,76.8,20.7,26.5,8.96
RTG2,YGL252C ,YGL252C ,582.1,N.A.,988.9,136.76,806.4,167.97
HXK2,YGL253W ,YGL253W ,12312.7,36.99,11317.4,194.47,8710.7,N.A.
FZF1,YGL254W ,YGL254W ,298,15.36,292.1,27.71,355,32.56
ZRT1,YGL255W ,YGL255W ,2774.1,N.A.,870.7,N.A.,656.1,N.A.
ADH4,YGL256W ,YGL256W ,490.2,32.18,555.4,68.01,854,N.A.
MNT2,YGL257C ,YGL257C ,622.5,15.08,524.5,17.81,669.4,13.51
NA,YGL258W ,YGL258W ,34.8,15.23,22.9,20.56,41.8,N.A.
NA,YGL258W ,YGL258W ,183.7,37.72,44.4,N.A.,110.8,N.A.
YPS5,YGL259W ,YGL259W ,37.4,N.A.,40.3,N.A.,132.9,47.55
YPS5,YGL259W ,YGL259W ,76.1,N.A.,109.5,N.A.,146.2,N.A.
NA,YGL260W ,YGL260W ,272.8,29.18,6.2,N.A.,61.7,9.37
NA,YGL261C ,YGL261C ,758.9,34.37,446.3,29.51,1010.8,48.3
NA,YGL262W ,YGL262W ,65.5,19.02,11.6,N.A.,81.6,35.08
COS12,YGL263W ,YGL263W ,532.9,13.59,298.9,29.21,347.3,16.29
NA,YGLCDELTA1 ,YGLCDELTA1 ,1178.4,35.16,884.3,35.36,1436.1,23.17
NA,YGLCDELTA5 ,YGLCDELTA5 ,3381,24.74,2074.8,25.33,2288.9,16.15
NA,YGLCSIGMA1 ,YGLCSIGMA1 ,1803.7,24.4,1487.1,22.08,1425.8,29.82
NA,YGLCSIGMA3 ,YGLCSIGMA3 ,46.1,28.5,57.6,18.41,70.6,64.6
NA,YGLCSIGMA3 ,YGLCSIGMA3 ,1933.3,10.9,1563.4,29.7,1344.2,16.64
NA,YGLCTAU3 ,YGLCTAU3 ,1.5,N.A.,53.9,14.49,50.8,12.14
NA,YGLWDELTA10 ,YGLWDELTA10 ,58.4,14.18,33.3,304.78,104.9,19.86
NA,YGLWDELTA2 ,YGLWDELTA2 ,41.2,13.88,40.7,21.95,40.4,26.25
NA,YGLWDELTA3 ,YGLWDELTA3 ,70.6,37.85,120.7,17.17,182.2,13.14
NA,YGLWDELTA4 ,YGLWDELTA4 ,326.8,33.15,310.7,N.A.,1513.5,25.63
NA,YGLWDELTA4 ,YGLWDELTA4 ,113.5,33.88,27.9,32.17,61.1,23.54
NA,YGLWDELTA6 ,YGLWDELTA6 ,58,28.8,56.8,13.73,66,108.23
NA,YGLWDELTA6 ,YGLWDELTA6 ,75,N.A.,90.6,25.94,153.4,42.17
NA,YGLWDELTA7 ,YGLWDELTA7 ,3449,12.37,2030.4,36.95,3773.9,26.22
NA,YGLWDELTA8 ,YGLWDELTA8 ,85.1,10.37,70.9,N.A.,150,20.42
NA,YGLWDELTA9 ,YGLWDELTA9 ,2633.9,12.2,2929,20.38,3552.4,27.59
NA,YGLWOMEGA1 ,YGLWOMEGA1 ,1.2,108.72,1.1,51.04,1.3,67.79
NA,YGLWOMEGA1 ,YGLWOMEGA1 ,1,247.89,1.5,N.A.,1.3,22.19
NA,YGLWSIGMA2 ,YGLWSIGMA2 ,457,15.74,474.8,27,547.5,18.25
NA,YGLWTAU1 ,YGLWTAU1 ,352.8,63.35,347.9,32.62,508.8,18.79
NA,YGLWTAU2 ,YGLWTAU2 ,109.5,23.86,41.7,N.A.,148.7,20.69
