Symbol,sys_name,SGD,WT_SSL,WT_HL,CBC_SSL,CBC1_HL,RRP6_SSL,RRP6-HL
TFC3,YAL001C ,YAL001C ,502.9,22.63,269.7,68.61,288.2,31.59
TFC3,YAL001C ,YAL001C ,146.9,24.45,37.7,N.A.,93.5,85.91
VPS8,YAL002W ,YAL002W ,261.2,21.07,178.4,19.58,327,39.9
EFB1,YAL003W ,YAL003W ,14842.7,18.55,13719.7,25.03,11059.5,29.3
EFB1,YAL003W ,YAL003W ,19366.1,16.85,15370.3,27.43,11072,22.35
NA,YAL004W ,YAL004W ,120.7,109.99,99.6,49.57,102.2,N.A.
SSA1,YAL005C ,YAL005C ,31189.7,58.59,36559.4,16.48,23575.3,14.61
SSA1,YAL005C ,YAL005C ,8895.4,35.49,18659.6,5.23,9629.3,N.A.
SSA1,YAL005C ,YAL005C ,9858,41.94,8045.6,91.93,7389.2,491.64
ERP2,YAL007C ,YAL007C ,1309.5,16.2,1388.5,23.75,750.9,17.23
FUN14,YAL008W ,YAL008W ,582.4,40.38,565.8,54.44,316.6,40.98
SPO7,YAL009W ,YAL009W ,562.5,14.17,645.4,15.1,354.6,13.53
MDM10,YAL010C ,YAL010C ,77.5,25.94,92.6,13.66,67.7,23.67
SWC1,YAL011W ,YAL011W ,174.2,13.25,150.6,15.85,119.2,14.34
CYS3,YAL012W ,YAL012W ,5966.6,N.A.,4898.3,N.A.,5945,N.A.
DEP1,YAL013W ,YAL013W ,508.7,44.75,700.1,23.77,427,7.82
UIP2,YAL014C ,YAL014C ,469.8,35.5,640.6,21.83,494,N.A.
NTG1,YAL015C ,YAL015C ,268.4,101.61,332.6,23.14,330.7,72.2
TPD3,YAL016W ,YAL016W ,1625,N.A.,2616.4,55.81,2420.6,N.A.
PSK1,YAL017W ,YAL017W ,732.5,N.A.,1149.1,21.46,1081.9,N.A.
NA,YAL018C ,YAL018C ,43.7,35.59,25.8,N.A.,74.4,93.57
FUN30,YAL019W ,YAL019W ,454.4,19.09,671.2,20.64,524.2,17.26
ATS1,YAL020C ,YAL020C ,311.5,47.36,429.5,38.86,387.7,61.57
CCR4,YAL021C ,YAL021C ,1290.2,32.2,1644.2,40.23,1830.2,39.56
FUN26,YAL022C ,YAL022C ,561.3,32.88,673,19.89,559.7,39.15
PMT2,YAL023C ,YAL023C ,7386.4,24.48,6883.4,24.64,4136.8,48.57
LTE1,YAL024C ,YAL024C ,294.1,9.72,241.5,16.46,247,17.79
MAK16,YAL025C ,YAL025C ,175,9.1,267.2,11.77,244.3,15.77
DRS2,YAL026C ,YAL026C ,342.7,23.07,247.8,25.1,324.2,32.04
NA,YAL027W ,YAL027W ,137.6,13.38,91.2,119.9,86,N.A.
NA,YAL028W ,YAL028W ,101.1,N.A.,101.6,86.92,57.3,N.A.
MYO4,YAL029C ,YAL029C ,775.4,10.8,572.6,23.96,653.2,16.39
SNC1,YAL030W ,YAL030W ,1046.2,15.26,303.5,38.2,256.3,42.82
SNC1,YAL030W ,YAL030W ,3950.2,26.53,1289.6,43.17,2277.2,23.78
FUN21,YAL031C ,YAL031C ,510.4,67.42,632.7,19.54,523.4,N.A.
PRP45,YAL032C ,YAL032C ,71.8,26.52,75.7,34.52,80.1,24.24
POP5,YAL033W ,YAL033W ,1481.4,17.3,2086.5,37.2,1563.6,24.59
FUN19,YAL034C ,YAL034C ,312.9,N.A.,118.3,N.A.,511.6,N.A.
MTW1,YAL034W-A ,YAL034W-A ,46.3,63.44,80.2,N.A.,53,50.73
NA,YAL035C-A ,YAL035C-A ,1.8,23.08,10.7,6.38,1.5,N.A.
FUN12,YAL035W ,YAL035W ,4988.6,27.6,3507.2,46.34,3545.7,29.16
FUN11,YAL036C ,YAL036C ,2254.6,7.96,2295.3,20.46,2336.3,15.28
NA,YAL037c-a ,YAL037c-a ,21.2,13.06,6.3,N.A.,2.7,N.A.
NA,YAL037W ,YAL037W ,123.7,6.29,8.2,N.A.,60.3,7.54
CDC19,YAL038W ,YAL038W ,21872.8,44.25,17214.2,197.99,11793.1,56.46
CYC3,YAL039C ,YAL039C ,2652.5,326.77,2251.9,76.14,667.9,N.A.
CLN3,YAL040C ,YAL040C ,1405.8,52.27,964.3,19.1,782.6,127.44
CDC24,YAL041W ,YAL041W ,464.3,14.25,425.3,21.26,549.2,15.65
ERV46,YAL042W ,YAL042W ,2749.6,20.38,2632,37.17,1481.1,31.02
PTA1,YAL043C ,YAL043C ,599.5,65.86,917,19.14,647.2,92.54
NA,YAL043C-A ,YAL043C-A ,11.2,17.76,4.1,18.58,4.7,1093.15
GCV3,YAL044C ,YAL044C ,19442,18.9,11022.6,42.88,8893,26.99
NA,YAL045C ,YAL045C ,126.9,36.44,92.8,12.78,109.1,45.92
NA,YAL046C ,YAL046C ,1111.1,19.13,1588.2,23.84,961.2,17.19
SPC72,YAL047C ,YAL047C ,47.9,29.63,50.4,N.A.,74.7,30.96
NA,YAL048C ,YAL048C ,25.2,N.A.,144.2,16.16,151.2,34.62
NA,YAL049C ,YAL049C ,1318.3,47.52,2141.9,52.24,1449.3,52.59
OAF1,YAL051W ,YAL051W ,900.7,22.27,515,70.1,680.4,100.41
NA,YAL053W ,YAL053W ,584.4,12.24,724.9,18.76,816.9,18.36
ACS1,YAL054C ,YAL054C ,315.8,560.83,307.8,375.95,291.3,33.95
PEX22,YAL055W ,YAL055W ,438.6,24.23,531.5,28.75,341.6,N.A.
GPB2,YAL056W ,YAL056W ,130.8,18.07,152.7,16.26,185.2,19.21
NA,YAL058C-A ,YAL058C-A ,73.2,30.6,121.7,142.94,55.4,N.A.
CNE1,YAL058W ,YAL058W ,331.4,14.83,309.7,18.05,134.3,28.27
ECM1,YAL059W ,YAL059W ,1570.7,7.1,1444.6,15.33,1227.8,8.82
BDH1,YAL060W ,YAL060W ,2024.4,N.A.,1618,N.A.,538.4,N.A.
NA,YAL061W ,YAL061W ,50.3,N.A.,70.6,N.A.,87.6,46.94
GDH3,YAL062W ,YAL062W ,241.1,N.A.,264.4,58.88,69,N.A.
FLO9,YAL063C ,YAL063C ,275.4,35.58,263.8,50.55,540.5,24.26
NA,YAL064C-A ,YAL064C-A ,20.6,5.16,1.2,78.03,2.2,9.75
NA,YAL064W ,YAL064W ,90.4,13.08,17.8,N.A.,97.3,37.94
NA,YAL064W-B ,YAL064W-B ,99.8,10.92,38.9,N.A.,133.7,224.64
NA,YAL065C ,YAL065C ,62.4,42.34,21.4,N.A.,41,21.08
NA,YAL066W ,YAL066W ,117,N.A.,102.3,97.43,363.5,N.A.
SEO1,YAL067C ,YAL067C ,230.7,N.A.,45.6,N.A.,196.8,N.A.
NA,YAL068C ,YAL068C ,931.6,112.31,581.4,87.35,1318.3,54.62
NA,YAL069W ,YAL069W ,111.1,N.A.,14.5,N.A.,153.6,32.91
NA,YAL069W ,YAL069W ,961,N.A.,980.9,14.41,1247.8,14.11
NA,YALCDELTA2 ,YALCDELTA2 ,39,102.63,346,15.35,78.9,28.17
NA,YALWDELTA1 ,YALWDELTA1 ,54.5,45.35,32.7,N.A.,146.6,18.25
NA,YALWDELTA1 ,YALWDELTA1 ,21.5,20.88,33.8,N.A.,28.1,14.63
ERP1,YAR002C-A ,YAR002C-A ,4275.8,29.38,4226.2,55.21,2337.8,31.71
NUP60,YAR002W ,YAR002W ,929.3,16.04,1107.6,20.65,1078.9,18.02
SWD1,YAR003W ,YAR003W ,460.9,19.82,339.1,29.25,919.8,16.04
RFA1,YAR007C ,YAR007C ,1446.4,28.62,1118.1,50.24,989.7,26.05
SEN34,YAR008W ,YAR008W ,170.7,8.8,150.2,10.99,186.3,8.18
BUD14,YAR014C ,YAR014C ,805.7,14.07,772.1,20.24,970.6,22.09
ADE1,YAR015W ,YAR015W ,7635.4,23.88,5105.9,64.75,2149,41.68
KIN3,YAR018C ,YAR018C ,154.5,34.75,237.4,20.66,248,14.82
CDC15,YAR019C ,YAR019C ,221.8,81.19,206.6,32.38,196.8,231.83
PAU7,YAR020C ,YAR020C ,273.6,54.73,280.7,N.A.,668.1,83.61
NA,YAR023C ,YAR023C ,83.5,32.81,67.5,23.12,136.8,27.89
UIP3,YAR027W ,YAR027W ,130.1,N.A.,267.5,N.A.,159.9,N.A.
NA,YAR028W ,YAR028W ,111.6,89.43,193.6,27.24,163,63.97
NA,YAR029W ,YAR029W ,24.6,N.A.,39.8,N.A.,39,N.A.
NA,YAR030C ,YAR030C ,29.2,N.A.,37.1,276.16,64,35.07
PRM9,YAR031W ,YAR031W ,67.4,13.36,88.8,19.56,16.8,93.42
PRM9,YAR031W ,YAR031W ,642.1,59.84,799,28.68,415.1,44.39
NA,YAR033W ,YAR033W ,99.1,N.A.,93.1,18.62,63.4,122.64
NA,YAR033W ,YAR033W ,170.5,45.7,123.1,180.16,137.4,74.98
YAT1,YAR035W ,YAR035W ,344.8,18.3,318.4,29.63,253,34.83
NA,YAR040c ,YAR040c ,4.1,65.54,2.6,N.A.,3.3,79.59
SWH1,YAR042W ,YAR042W ,200.8,182.54,334.2,32.49,297.8,45.94
OSH1,YAR044W ,YAR044W ,237.7,24.38,157.6,30.34,162.2,127.18
NA,YAR047C ,YAR047C ,12.9,18.57,45.1,N.A.,6,N.A.
FLO1,YAR050W ,YAR050W ,3.3,47.92,4.4,15.97,149.7,9.89
NA,YAR053W ,YAR053W ,220.9,17.17,251.6,22.41,270.5,31.89
NA,YAR060C ,YAR060C ,221.5,50.18,108.4,N.A.,170.2,N.A.
NA,YAR061W ,YAR061W ,144.3,43.45,108.9,390.41,108.5,N.A.
NA,YAR062W ,YAR062W ,96.8,14.88,64.3,19.63,45,177.25
NA,YAR064W ,YAR064W ,182.2,29.14,67.5,N.A.,94.4,N.A.
NA,YAR066W ,YAR066W ,141.3,16.08,120.4,51.81,114.2,N.A.
NA,YAR068W ,YAR068W ,7652.9,7.83,3855.4,13.25,5179.8,12.89
NA,YAR069C ,YAR069C ,248.3,17.18,119,N.A.,357.8,18.88
NA,YAR070C ,YAR070C ,60.3,659.32,11.1,11.28,148,16.27
PHO11,YAR071W ,YAR071W ,390.2,15.41,323.5,62.3,286.9,51.5
IMD1,YAR073W ,YAR073W ,860.8,22.29,880.8,69.53,1294.2,33.3
NA,YAR075W ,YAR075W ,4513.1,27.12,3474.2,61.89,5228.1,35
NA,YARCDELTA3 ,YARCDELTA3 ,14.9,10.57,4,46.92,6.6,N.A.
NA,YARCDELTA4 ,YARCDELTA4 ,3210.5,43.36,1997.3,51.68,3788.6,28.2
NA,YARCDELTA5 ,YARCDELTA5 ,2751,18.11,2208.9,34.57,3857,24.95
NA,YARCDELTA8 ,YARCDELTA8 ,38.4,16.25,2.8,N.A.,30.7,30.58
NA,YARCTY1-1 ,YARCTY1-1 ,2374.1,55.43,1880.2,N.A.,7145.5,N.A.
NA,YARCTY1-1 ,YARCTY1-1 ,7732.8,49.89,10523.3,28.27,14622.5,40.49
NA,YARCTY1-1 ,YARCTY1-1 ,10111,30.34,10745.9,32.08,14705.9,56.15
NA,YARCTY1-1 ,YARCTY1-1 ,8071.2,75.79,6247.2,37.14,8108.3,40.49
NA,YARCTY1-1 ,YARCTY1-1 ,2518.8,30.81,1877.5,32.24,3336.3,45.67
NA,YARCTY1-1 ,YARCTY1-1 ,5358.4,42.15,3365.4,35.78,5313.6,32.47
NA,YARWDELTA6 ,YARWDELTA6 ,1104.7,33.28,1256.3,63.18,1474.2,45.75
NA,YARWDELTA7 ,YARWDELTA7 ,694.5,13.34,631.4,31.77,706.9,35.23
ECM15,YBL001C ,YBL001C ,3422.5,15.95,3700.1,21.99,1745.2,24.68
HTB2,YBL002W ,YBL002W ,2379.5,14.06,4303.9,13.39,2739.9,10.25
HTA2,YBL003C ,YBL003C ,5089.8,21.12,7375.1,25.62,5241.7,16.77
UTP20,YBL004W ,YBL004W ,419.3,13.12,418.5,19.14,565.6,11.18
PDR3,YBL005W ,YBL005W ,170.3,29.61,285,26.16,171,415.71
NA,YBL006C ,YBL006C ,496.3,33.4,682,37.13,500.1,23.91
SLA1,YBL007C ,YBL007C ,787.9,72.02,912.1,82.19,868.4,52.57
HIR1,YBL008W ,YBL008W ,183.3,12.37,251,17.2,224.8,17.1
NA,YBL009W ,YBL009W ,423.8,17.23,582.2,24.77,528,19.39
NA,YBL010C ,YBL010C ,47.7,81.01,62.5,20.06,65.9,17.19
SCT1,YBL011W ,YBL011W ,471.1,21.21,437.4,25.21,592.4,288.31
NA,YBL012C ,YBL012C ,27.1,23.54,5.3,7.21,23.2,5.33
FMT1,YBL013W ,YBL013W ,34.3,18.81,15.7,N.A.,64.1,N.A.
RRN6,YBL014C ,YBL014C ,177.5,11.8,277.2,9.84,396.3,10.43
ACH1,YBL015W ,YBL015W ,450.3,N.A.,530.7,N.A.,673,N.A.
FUS3,YBL016W ,YBL016W ,736.2,8.63,786.1,50.93,861.4,20.75
PEP1,YBL017C ,YBL017C ,1334.2,30.34,873.1,19.74,1020.1,34.84
POP8,YBL018C ,YBL018C ,356.2,21.58,242.2,23.54,152.4,39.47
APN2,YBL019W ,YBL019W ,47.2,46.17,59.8,16.22,15.3,21.38
RFT1,YBL020W ,YBL020W ,964.5,23.2,989.1,19.31,911.9,32.54
HAP3,YBL021C ,YBL021C ,342.7,16.21,435.2,20.53,288.2,25.88
PIM1,YBL022C ,YBL022C ,3914.5,126.59,3408.2,76.05,2814.3,256.26
MCM2,YBL023C ,YBL023C ,544.1,17,485.4,22.1,409.8,23.67
NCL1,YBL024W ,YBL024W ,949.3,18.04,945.7,20.69,794,18.22
RRN10,YBL025W ,YBL025W ,117.2,12.73,160.6,14.3,205.7,11.89
LSM2,YBL026W ,YBL026W ,110.5,18.05,84.8,132.74,42.9,16.12
LSM2,YBL026W ,YBL026W ,18,N.A.,1.4,N.A.,57,6.58
LSM2,YBL026W ,YBL026W ,1301.6,21.56,1091.3,26.36,886.3,21.22
RPL19B,YBL027W ,YBL027W ,22448.5,25.93,20855.8,39.35,15884.1,27.04
NA,YBL028C ,YBL028C ,169.6,6.42,184.2,14.03,247.7,6.92
NA,YBL029W ,YBL029W ,190.2,14.94,115,95.74,106.1,585.29
PET9,YBL030C ,YBL030C ,10753.5,39.45,11040.3,41.91,10230.7,45.37
SHE1,YBL031W ,YBL031W ,122,10.66,168.2,21.53,93.9,29.55
HEK2,YBL032W ,YBL032W ,1328.1,28.27,1424.2,44.47,1007.8,81.87
RIB1,YBL033C ,YBL033C ,1323.4,N.A.,1629.3,N.A.,1063,N.A.
STU1,YBL034C ,YBL034C ,450.4,14.91,405.6,13.22,461.8,14.6
POL12,YBL035C ,YBL035C ,277.1,10.26,535.6,14.36,330.7,29.23
NA,YBL036C ,YBL036C ,974.3,13.62,922.3,27.46,1175,15.49
APL3,YBL037W ,YBL037W ,199.1,17.86,272.7,20.46,282.4,21.05
MRPL16,YBL038W ,YBL038W ,652.8,90.91,890.6,93.87,652.4,122.74
URA7,YBL039C ,YBL039C ,4110.6,19.47,3781.7,23.7,4568.8,15.1
ERD2,YBL040C ,YBL040C ,445.3,42.32,1039.2,49.24,694.3,126.21
PRE7,YBL041W ,YBL041W ,1990.2,31.01,2807,54.56,2943.7,55.48
FUI1,YBL042C ,YBL042C ,923.1,5.05,680.2,8.81,987.5,7.43
ECM13,YBL043W ,YBL043W ,75.5,16.26,88.5,10.1,90.7,16.79
NA,YBL044W ,YBL044W ,20.2,11.11,2.5,N.A.,12.5,10.89
COR1,YBL045C ,YBL045C ,1004.5,39.26,1211.7,N.A.,1438.2,86.63
NA,YBL046W ,YBL046W ,308.6,20.92,481,22.97,584.8,20.12
EDE1,YBL047C ,YBL047C ,1191.5,16.91,1193.4,N.A.,1187.9,35.18
NA,YBL048W ,YBL048W ,193.6,26.5,262.5,41.45,271.7,16.43
NA,YBL049W ,YBL049W ,100.5,N.A.,217.5,32.99,104.2,57.58
SEC17,YBL050W ,YBL050W ,1107.6,40.72,986.4,323.71,659.2,N.A.
PIN4,YBL051C ,YBL051C ,738.6,71.74,914,23.46,795.1,199.36
SAS3,YBL052C ,YBL052C ,155.7,15.19,189.5,15.11,266,15.39
NA,YBL053W ,YBL053W ,152.1,13.07,57.3,93.93,112.1,N.A.
NA,YBL054W ,YBL054W ,551.5,7.15,484.5,13.04,515.8,7.84
NA,YBL055C ,YBL055C ,255.6,24.5,311.8,40.19,274.6,18.45
PTC3,YBL056W ,YBL056W ,263.3,131.05,366.1,550.17,348.4,N.A.
NA,YBL057C ,YBL057C ,911,15.64,945.1,32.58,480.9,77.4
SHP1,YBL058W ,YBL058W ,2970.4,56.04,3189.3,58.95,2811.3,665.58
NA,YBL059W ,YBL059W ,43,17.31,43.6,18.61,68.4,27.88
NA,YBL059W ,YBL059W ,395.4,142.81,446.6,18.75,436.5,28.33
NA,YBL060W ,YBL060W ,124.6,22.25,167.2,23.05,220.5,22.77
SKT5,YBL061C ,YBL061C ,882.6,14.32,533.7,43.54,463.7,30.4
NA,YBL062W ,YBL062W ,191.8,12.04,118.4,47.2,165.5,22.33
KIP1,YBL063W ,YBL063W ,120,15.44,121.6,45.73,102,74.18
NA,YBL064C ,YBL064C ,647.8,N.A.,1059.7,N.A.,626.4,N.A.
NA,YBL065W ,YBL065W ,81.4,27.38,59.1,21.97,97.2,15.3
SEF1,YBL066C ,YBL066C ,131.6,21.32,124.2,26.72,126.7,75.16
UBP13,YBL067C ,YBL067C ,305.7,18.85,302,38.47,246.4,26.54
PRS4,YBL068W ,YBL068W ,1877.5,20.88,1496.2,52.2,1651.1,17.11
AST1,YBL069W ,YBL069W ,167.2,31.45,252.5,35.46,126.3,22.56
AST1,YBL069W ,YBL069W ,127.3,40.85,160,86.05,91.9,110.3
NA,YBL070C ,YBL070C ,70,11.8,12.5,N.A.,119.5,15.89
NA,YBL071C ,YBL071C ,243.4,15.07,205.1,21.1,296.2,15.33
RPS8A,YBL072C ,YBL072C ,14274.5,60.66,16057.4,35.32,13296.2,30.5
NA,YBL073W ,YBL073W ,63,31.08,13.1,N.A.,57.2,11.95
AAR2,YBL074C ,YBL074C ,36.5,13.75,46.7,24.75,121.3,25.73
SSA3,YBL075C ,YBL075C ,47.2,N.A.,191.8,N.A.,322.7,N.A.
ILS1,YBL076C ,YBL076C ,2159.4,26.22,1789.8,246.95,1910.4,21.32
NA,YBL077W ,YBL077W ,118.6,20.38,165,31.99,144.2,143.15
AUT7,YBL078C ,YBL078C ,553.7,N.A.,1419.8,N.A.,1704.6,N.A.
NUP170,YBL079W ,YBL079W ,450.9,10.62,587.3,19,929.2,9.56
PET112,YBL080C ,YBL080C ,130,30.31,198.3,N.A.,262.7,17.97
NA,YBL081W ,YBL081W ,452.9,5.42,404.2,12.48,560.7,7.76
RHK1,YBL082C ,YBL082C ,732.5,20.07,792,21.53,518.8,25.27
NA,YBL083C ,YBL083C ,35.8,34.43,64.8,N.A.,79,24.03
NA,YBL083C ,YBL083C ,853.5,24.75,833.3,31.02,655.3,39.03
CDC27,YBL084C ,YBL084C ,465.5,20.91,415.6,20.15,333.1,N.A.
BOI1,YBL085W ,YBL085W ,731.1,39.97,720,15.04,576.1,70.89
NA,YBL086C ,YBL086C ,106.4,N.A.,91.4,N.A.,100.6,N.A.
RPL23A,YBL087C ,YBL087C ,19453.8,32.39,16761.9,41.47,13703.6,40.16
TEL1,YBL088C ,YBL088C ,147.2,13.46,154.7,26.48,277.9,26.57
NA,YBL089W ,YBL089W ,293.9,16.51,305.2,19.09,274.4,54.07
MRP21,YBL090W ,YBL090W ,313.5,26.14,395.8,50.32,210.8,N.A.
MAP2,YBL091C ,YBL091C ,3070.6,64.64,3076.1,116.01,1231.1,N.A.
NA,YBL091C-A ,YBL091C-A ,489.9,2143.81,208.5,50.01,249.9,N.A.
RPL32,YBL092W ,YBL092W ,10789.6,31.46,10332.5,36.35,8605.6,27.59
ROX3,YBL093C ,YBL093C ,379.6,16.11,671.9,29.51,437.5,23.18
NA,YBL094C ,YBL094C ,186.1,13.95,146.8,21.85,310.5,47.11
NA,YBL095W ,YBL095W ,239.1,11.49,194.4,37.32,219.7,25.99
NA,YBL096C ,YBL096C ,460,13.74,559.8,20.23,676.4,51.62
BRN1,YBL097W ,YBL097W ,30,70.5,4.4,72.32,48,33.78
BNA4,YBL098W ,YBL098W ,1387.9,18.52,436,310.79,357.4,N.A.
ATP1,YBL099W ,YBL099W ,6133.8,58.56,6206.4,44.76,5866.4,51.28
NA,YBL100C ,YBL100C ,51.3,85.51,74.7,19.24,27.8,11.04
ECM21,YBL101C ,YBL101C ,489,33.83,460.7,20.2,418.3,65.39
SFT2,YBL102W ,YBL102W ,2415,19.31,2688.1,27.76,1826,32.15
RTG3,YBL103C ,YBL103C ,495.2,10.33,467.1,19.21,479.8,21.52
NA,YBL104C ,YBL104C ,304.2,7.55,368.3,18.61,222.3,46.69
PKC1,YBL105C ,YBL105C ,253.7,28.71,262.6,20.96,207,127.83
SRO77,YBL106C ,YBL106C ,178.7,67.17,209.5,17.25,386.9,31.61
NA,YBL107C ,YBL107C ,275,25.87,316.2,19.67,349.9,21.14
NA,YBL108W ,YBL108W ,35.7,112.04,23.5,N.A.,52.2,13.41
NA,YBL109W ,YBL109W ,483.4,30.34,199.1,137.32,2072.2,27.5
NA,YBL112C ,YBL112C ,2037.1,22.22,2972,12.66,4143.7,14.24
NA,YBLCDELTA7 ,YBLCDELTA7 ,185.6,16.74,94.7,35.66,178.5,N.A.
NA,YBLCSIGMA1 ,YBLCSIGMA1 ,1080.4,10.97,783.5,27.76,852.6,18.14
NA,YBLWDELTA1 ,YBLWDELTA1 ,28.5,N.A.,10.2,8.12,128.7,53.4
NA,YBLWDELTA1 ,YBLWDELTA1 ,38.5,9.56,6.8,N.A.,38.5,26.06
NA,YBLWDELTA10 ,YBLWDELTA10 ,2562.7,36.02,1926,45.65,3598.3,24.26
NA,YBLWDELTA2 ,YBLWDELTA2 ,1224,17.01,1290.7,57.47,1579.2,43.69
NA,YBLWDELTA3 ,YBLWDELTA3 ,8.4,8.32,1,N.A.,1.5,23.61
NA,YBLWDELTA4 ,YBLWDELTA4 ,1459.6,13.91,1358.6,47.6,1988.7,27.73
NA,YBLWDELTA5 ,YBLWDELTA5 ,1504,13.95,1156.1,45.01,1822,32.59
NA,YBLWDELTA6 ,YBLWDELTA6 ,233.8,16.27,131.5,23.88,188,19.58
NA,YBLWDELTA8 ,YBLWDELTA8 ,191.6,7.88,216.2,35.85,387.2,16
NA,YBLWDELTA9 ,YBLWDELTA9 ,2755.5,12.3,1490,41.65,3063.8,29.34
NA,YBLWTAU1 ,YBLWTAU1 ,2535.5,22.71,3252.4,47.43,2284.6,53.76
NA,YBLWTY1-1 ,YBLWTY1-1 ,3609.4,15.65,2834,28.09,5663.3,34.57
NA,YBLWTY2-1 ,YBLWTY2-1 ,2127.8,12.58,1884.4,42.15,2712.4,31.21
NTH2,YBR001C ,YBR001C ,762,29.81,717.1,36.78,596.5,908.03
RER2,YBR002C ,YBR002C ,875.6,10.96,749.5,15.05,620.8,20.27
COQ1,YBR003W ,YBR003W ,707.8,51.8,621.9,126.18,520.2,140.75
NA,YBR004C ,YBR004C ,931.9,12.37,846.3,15.92,894.2,13.99
NA,YBR005W ,YBR005W ,138.8,18.87,283.6,35.67,304.8,25.7
UGA2,YBR006W ,YBR006W ,258.6,87.65,212,N.A.,144.9,110.59
UGA2,YBR006W ,YBR006W ,213.9,N.A.,196.1,N.A.,135.6,N.A.
NA,YBR007C ,YBR007C ,358.5,N.A.,353.5,N.A.,369.9,N.A.
FLR1,YBR008C ,YBR008C ,444.3,22.86,468.7,23.77,1314.2,46.08
HHT1,YBR010W ,YBR010W ,18707.3,33.26,21702.7,23.59,9623.9,24.54
HHT1,YBR010W ,YBR010W ,3146.2,33,3859.4,35.39,2528.3,23.67
IPP1,YBR011C ,YBR011C ,7474.9,39.78,8325.8,108.61,7245.9,93.33
NA,YBR012C ,YBR012C ,13.2,7.18,28.3,20.24,0.9,N.A.
NA,YBR013C ,YBR013C ,10.6,22.47,13.6,12.27,2.2,N.A.
NA,YBR014C ,YBR014C ,302.9,910.94,313.2,N.A.,273.2,N.A.
MNN2,YBR015C ,YBR015C ,1024.7,30.75,673.8,152.56,800.8,49.32
NA,YBR016W ,YBR016W ,1250.2,61,2451.2,19.43,1931.4,35.21
KAP104,YBR017C ,YBR017C ,604.7,12.81,493.3,26.82,677.1,19.86
GAL7,YBR018C ,YBR018C ,68.5,395.39,72.9,96.73,76.6,N.A.
GAL10,YBR019C ,YBR019C ,57.1,14.2,56.1,N.A.,95.1,18.27
GAL1,YBR020W ,YBR020W ,49.2,21.7,6.9,N.A.,33.8,3.97
FUR4,YBR021W ,YBR021W ,458.4,6.67,388.2,10.64,578.5,7.91
NA,YBR022W ,YBR022W ,226.7,36.43,629.8,21.15,469.9,17.61
CHS3,YBR023C ,YBR023C ,1939.9,11.36,1773,12.76,2635.9,17.25
SCO2,YBR024W ,YBR024W ,374.3,132.61,857.7,40.51,364.2,176.08
NA,YBR025C ,YBR025C ,6519.6,23.12,6647.2,54.95,6419.8,51.75
MRF1,YBR026C ,YBR026C ,256.9,N.A.,390.8,N.A.,286.4,417.76
NA,YBR027C ,YBR027C ,65.3,94.46,32.5,N.A.,57.4,276.06
NA,YBR028C ,YBR028C ,100.1,10.94,148,15.77,91.4,16.92
CDS1,YBR029C ,YBR029C ,1193.4,12.85,1139.8,19.09,1079.5,12.45
NA,YBR030W ,YBR030W ,144.7,21.11,221.1,19.99,230.2,18.36
RPL4A,YBR031W ,YBR031W ,1043.9,21.94,1374.3,28.14,2169.4,21.22
RPL4A,YBR031W ,YBR031W ,15837.9,48.85,15849.2,39.74,13674.3,34.7
NA,YBR032W ,YBR032W ,57.3,11.87,14.7,N.A.,84.9,30.49
EDS1,YBR033W ,YBR033W ,99.2,63.87,102.7,N.A.,104.7,59.66
HMT1,YBR034C ,YBR034C ,1581.8,5.9,1621.7,10.5,1224.9,6.56
PDX3,YBR035C ,YBR035C ,2129.4,44.15,1721,69.49,659.8,236.11
CSG2,YBR036C ,YBR036C ,1742.6,32.17,1890.2,119.23,1397.3,86.52
SCO1,YBR037C ,YBR037C ,1613.6,85.64,1565.5,187.76,1070.1,N.A.
CHS2,YBR038W ,YBR038W ,1535.4,23.94,1117.5,41.93,1084.9,24.6
ATP3,YBR039W ,YBR039W ,5783.6,56.99,6273.1,214.14,4477.2,2569.99
FIG1,YBR040W ,YBR040W ,211.8,18.63,3.4,N.A.,195.7,20.72
FAT1,YBR041W ,YBR041W ,284,23.82,242.2,47.51,258.4,72.05
NA,YBR042C ,YBR042C ,178.7,23.95,230.2,29.38,185.6,27.22
AQR2,YBR043C ,YBR043C ,796.4,10.34,500.3,14.66,581.8,68.42
TCM62,YBR044C ,YBR044C ,118.6,64.34,126.8,39,154.3,34.85
GIP1,YBR045C ,YBR045C ,6.6,8.79,2.9,26.19,48.3,N.A.
ZTA1,YBR046C ,YBR046C ,641.9,N.A.,528.6,N.A.,262.1,N.A.
NA,YBR047W ,YBR047W ,592.1,N.A.,286,N.A.,284.6,N.A.
RPS11B,YBR048W ,YBR048W ,11609.3,41.41,11079.5,33.88,8712.2,30.89
REB1,YBR049C ,YBR049C ,235.3,15.89,264,25.6,234.3,27.19
REG2,YBR050C ,YBR050C ,83.9,N.A.,177.6,26.89,113.1,N.A.
NA,YBR051W ,YBR051W ,59.4,38.67,32,N.A.,80.4,160.6
NA,YBR052C ,YBR052C ,2359.1,675.2,2458.6,N.A.,1190.3,N.A.
NA,YBR053C ,YBR053C ,263,N.A.,474.5,N.A.,277,30.26
YRO2,YBR054W ,YBR054W ,182.4,N.A.,485.6,N.A.,175.5,N.A.
PRP6,YBR055C ,YBR055C ,258.9,17.68,354.9,16.7,373.2,13.47
